Bundestagswahl 2013
Endgültig
Nr;Gebiet;gehört;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;CDU;;;;SPD;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;PIRATEN;;;;NPD;;;;Tierschutzpartei;;;;REP;;;;ÖDP;;;;FAMILIE;;;;Bündnis 21/RRP;;;;RENTNER;;;;BP;;;;PBC;;;;BüSo;;;;DIE VIOLETTEN;;;;MLPD;;;;Volksabstimmung;;;;PSG;;;;AfD;;;;BIG;;;;pro Deutschland;;;;DIE RECHTE;;;;DIE FRAUEN;;;;FREIE WÄHLER;;;;Nichtwähler;;;;PARTEI DER VERNUNFT;;;;Die PARTEI;;;;B;;;;BGD;;;;DKP;;;;NEIN!;;;;Übrige;;;;
252;Augsburg-Stadt;9;208231;206196;;;133378;135957;;;1354;1789;1112;1748;132024;134168;132266;134209;;;;;33145;26268;29328;24981;4511;14638;6187;17645;6408;9318;7391;10552;14568;19708;13940;16898;58622;56644;57699;51728;3508;;3424;4166;908;2038;841;1602;;;1012;965;844;;641;899;;1621;1034;1073;;;;665;141;1658;115;1513;;;;;;1022;700;674;;;;136;142;177;43;89;;;205;307;162;230;84;113;;;;;;;;;6301;;7136;;;;;;;;116;;;;;;;;258;;2764;;1976;;;;;;;;136;;;;;;;;;;;;;;;;;;;;;;;846;;203;
253;Augsburg-Land;9;244203;240672;;;176239;177024;;;1600;2484;1229;1754;174639;174540;175010;175270;;;;;30879;27427;30126;25356;3974;20137;8134;27522;5177;8264;5631;9425;12067;15031;12670;16430;105841;92508;93973;80335;3550;;3089;3399;1840;2834;1279;2168;;;1384;1208;;;1023;1777;2665;2804;1784;1790;;;;1187;734;2539;367;1990;;;;;;2552;1580;1609;;;;200;;444;29;122;;;221;405;;;42;46;;;;;;;;;7912;;9040;;;;;;;;151;;;;;;;;390;;;;3929;;;;;;;;168;;;;;;;;;;;;;;;;;;;;;;;;;301;
254;Donau-Ries;9;189974;189097;;;131055;133619;;;1560;2191;1297;1497;129495;131428;129758;132122;;;;;22858;20901;21616;18290;3170;15337;5824;19314;5797;8025;4260;7605;8153;9962;7773;10139;78524;69102;72065;64647;;;1938;2170;2342;2549;1503;1919;;;877;703;;;999;1725;2899;1982;1312;1367;;;;1077;381;;121;751;;;;;;2385;1144;1432;;;;172;;;12;41;;888;214;495;;;26;30;;;;;;;;;;;5433;;;;;;;;81;;;;;;;;462;;5371;;3964;;;;;;;;134;;;;;;;;;;;;;;;;;;;;;;;297;;245;
255;Neu-Ulm;9;237651;235775;;;161614;164678;;;1697;2832;1248;1790;159917;161846;160366;162888;;;;;29420;24977;29023;23937;4377;18406;7485;26391;5546;10245;5958;10341;12505;17398;10417;14310;91961;82046;84598;72060;3085;;2990;3496;3009;4483;2444;3499;;;1187;1040;;;580;1013;2493;4291;1732;2387;;;;1283;;;57;938;;;;;;;986;1005;;;;344;;;39;96;;;185;331;;;46;36;;;;;;;;;7521;;8986;;;;;;;;139;;;;;;;;355;;;;2985;;;;;;;;174;;;;;;;;;;;;;;;;;;;;;;;;;381;
256;Oberallgäu;9;224278;221708;;;155635;158857;;;1531;2008;1084;1618;154104;156849;154551;157239;;;;;26722;19107;24776;20392;5501;17464;8749;26018;5530;7842;5574;8735;13011;20093;14329;17753;93494;83181;80902;70559;3072;;2431;2635;;1314;861;1202;;;1201;1039;2236;2092;1052;1800;4127;3150;2089;2299;;;;1200;411;;161;983;;;;;;2606;976;1507;;;;242;;;30;53;;;230;353;;;35;41;;;;;;;;;;;6695;;;;;;;;99;;;;;;;;290;;;;3918;;;;;;;;153;;;;;;;;;;;;;;;;;;;;;;;;;428;
257;Ostallgäu;9;244541;242341;;;167668;170224;;;1456;2992;1328;2194;166212;167232;166340;168030;;;;;25009;22859;24971;20544;2847;21115;7677;28362;4731;8822;5270;9369;10039;15030;11785;15668;99333;85429;91664;77911;3260;;2904;2951;;2814;1374;2262;;;1103;1018;;;587;1010;3258;3671;2593;2728;;;;1196;;;42;803;;;;;4808;5367;2913;2849;;;;390;;;28;85;;;199;334;;;30;34;;;;;;;;;6842;;7991;;;;;;;;114;;;;;;;;382;;5425;;4537;;;;;;;;176;;;;;;;;;;;;;;;;;;;;;;660;2125;;516;
9;Bayern;99;9472738;9382583;;;6633726;6720532;;;62423;94735;52971;68496;6571303;6625797;6580755;6652036;;;;;1443710;1331177;1314009;1120018;183259;700960;334158;976379;225218;386476;248920;429371;505800;675888;552818;719265;3544079;3191000;3243569;2830238;131872;24102;127934;135790;59721;111662;56737;87591;;;46937;43215;8235;13564;27457;54588;84583;83568;68365;75866;;3921;;44421;2747;22179;3032;48458;;;;;28430;32324;57395;48311;;921;;9262;1519;5466;1375;3305;1087;2064;8211;13872;448;540;1757;1769;;;;;;;;;146714;;283570;;;;;;735;;4874;;;;;;;;12148;;192702;;180649;;;;;;339;;6840;;2260;;;;;;;;;;;;;;;;290;;;;7555;39985;;10317;

296;Saarbrücken;10;204905;207292;;;142400;146713;;;3349;2699;3065;2133;139051;144014;139335;144580;51324;45748;46513;38317;50286;43737;43329;34528;2410;10597;6246;17651;15202;31946;16268;34666;7422;9696;10910;12685;;;;;3904;;4110;2536;2550;1967;2582;1737;;;;;;;;;;;;;;;1560;1596;;;;752;;;;;;;;;;;;;;;;;;;;;267;323;160;112;;;;;;;;;5686;;6575;;;;;;;;233;;;;;;;;;;;;849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
297;Saarlouis;10;211529;214924;;;154287;159639;;;4360;4022;4357;3446;149927;155617;149930;156193;66694;58297;60052;50566;52303;51193;46037;37749;1872;11516;5480;19643;10936;24244;13458;31057;5577;8342;7873;10194;;;;;3652;;3739;2188;2475;2025;2610;1874;;;;;;;;;;;;;;;1653;2013;;;;861;;;;;;;;;;;;;;;;;;;;;;;71;48;;;;;;;;;6418;;7645;;;;;;;;237;;;;;;;;;;;;1075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
298;St. Wendel;10;181521;184896;;;138097;142795;;;4041;3814;3904;3079;134056;138981;134193;139716;60865;55727;54911;48373;44868;42910;40861;35506;2221;9486;4514;15094;10247;22965;12139;26775;3793;6058;6088;7507;;;;;3035;;3391;1853;1975;1835;2062;1629;;;;;;;;;;;;;;;1858;2273;;;;664;;;;;;;;;;;;;;;;;;;;;;;58;42;;;;;;;;;6365;;7287;;;;;;;;214;;;;;;;;;;;;810;;;;;;687;;;;;;;;;;;;;;;;;;;;;;;;;;;;
299;Homburg;10;198117;201442;;;142644;147047;;;3729;3131;3542;2669;138915;143916;139102;144378;55250;48092;50892;42033;52266;44500;44365;36681;1890;10508;5266;17039;12592;27933;14180;31382;4954;6575;7127;9164;;;;;3289;;3453;2043;2231;2206;2437;2159;;;;;;;;;;;;;;4102;2378;3030;;;;797;;;;;;;;;;;;;;;;;;;;;;;72;50;;;;;;;;;6443;;7784;;;;;;;;218;;;;;;;;;;;;930;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Saarland;99;796072;808554;;;577428;596194;;;15479;13666;14868;11327;561949;582528;562560;584867;234133;207864;212368;179289;199723;182340;174592;144464;8393;42107;21506;69427;48977;107088;56045;123880;21746;30671;31998;39550;;;;;13880;;14693;8620;9231;8033;9691;7399;;;;;;;;;;;;;;4102;7449;8912;;;;3074;;;;;;;;;;;;;;;;;;;;;267;323;361;252;;;;;;;;;24912;;29291;;;;;;;;902;;;;;;;;;;;;3664;;;;;;687;;;;;;;;;;;;;;;;;;;;;;;;;;;;

75;Berlin-Mitte;11;204085;197252;;;141574;133355;;;2282;2749;2174;2340;139292;130606;139400;131015;33265;28760;31544;24854;39360;33943;36403;27780;2088;8869;5134;13590;23200;24871;26068;25216;25687;28108;23329;28880;;;;;5463;;6608;5450;1363;2110;1234;1530;;;;1576;;;198;519;;;319;245;;;;;;;;;;;;;;;;;;;;;217;951;144;329;;;;527;202;;145;107;;;;;;;76;116;4212;;5443;;479;;473;;;;292;;;;;;;;;;239;;304;;;;;;;;;;1856;;1686;;;;;;;;;;261;;;167;;;;;1400;2994;;129;
76;Berlin-Pankow;11;235344;232250;;;175061;166099;;;2414;2836;2237;2350;172647;163263;172824;163749;41295;28374;40617;28163;36180;44769;38030;29850;1581;9604;4380;13626;48926;47070;43472;45099;25442;26674;24300;32401;;;;;5860;;6767;6767;2872;3702;2597;3007;;;;2225;;;231;486;;;416;351;;;;;;;;;;;;;;;;;;;;;322;1090;182;457;;;;559;;;146;104;;;;;;;124;178;7088;;8372;;;;84;;;;457;;;;;;;;;;861;;665;;;;;;;;;;2220;;1984;;;;;;;;;;;;;235;;;;;;1980;;241;
77;Berlin-Reinickendorf;11;182934;183112;;;133484;132532;;;2603;3039;2428;2666;130881;129493;131056;129866;58845;50554;52545;42771;38593;35540;34571;27842;2605;13711;5708;20580;8508;10525;10394;12060;8790;13875;11427;17577;;;;;3251;;3417;2979;2254;2613;1976;2074;;;;1946;;;310;772;;;240;246;;;;;;;;;;;;;;;;;;;;;;879;75;372;;;;340;;;44;30;;;;;;;50;76;5852;;7906;;;;209;;;;449;;;;;;;;;;624;;661;;;;;;;;;;865;;1074;;;;;;;;;;;;;36;;;;;694;1796;;165;
78;Berlin-Spandau - Charlottenburg Nord;11;187363;184436;;;130485;126799;;;2722;3098;2639;2821;127763;123701;127846;123978;50071;44994;46757;37170;47790;41051;36932;29109;1788;10612;4856;18277;9199;11446;12146;13611;5942;10853;10542;16451;;;;;4030;;3960;3173;2022;2463;1815;1982;;;;2019;;;310;618;;;224;226;;;;;;;;;;;;;;;;;;;;;270;1245;164;560;;;;371;;285;85;96;;;;;;;55;87;5543;;7458;;553;;460;;;;494;;;;;;;;;;555;;550;;;;;;;;;;;;1038;;;;;;;;;;;;;44;;;;;;752;;184;
79;Berlin-Steglitz - Zehlendorf;11;220007;217335;;;175539;172795;;;2559;2610;2102;2188;172980;170185;173437;170607;73460;66075;64500;53085;50540;45691;44371;34488;4605;15138;11057;28876;9102;9325;12426;12270;20416;27392;23487;33004;;;;;4216;;4358;3739;1165;1544;1016;1309;;;;1860;;;169;472;;;353;312;;1416;;;;;;;;;;;;;;;;;;;281;462;140;283;;875;;623;;;55;34;;;;;;;50;79;7321;;9257;;;;160;;;;331;;;;;;;;;;598;;552;;;;;;;;;;1276;;1155;;;;;;;;;;;;;36;;;;;;2267;;137;
80;Berlin-Charlottenburg - Wilmersdorf;11;197797;195857;;;153420;150356;;;2086;2623;1755;1971;151334;147733;151665;148385;56079;44549;49285;39331;47619;47340;41058;31719;3801;16397;10347;24313;9368;9978;13446;12868;22176;26778;23324;32724;;;;;3657;;3872;3564;754;1187;639;893;;;;1518;;;114;262;;;242;243;;;;;84;;;;;;;;;;;;;;;;181;912;120;265;;;;465;;;45;34;;;;;;;39;53;5649;;7276;;227;;205;;;;220;;;;;;;;;;478;;457;;;;;;;;;;1057;;976;;;;;;;;;;;;;45;;;;;204;592;;88;
81;Berlin-Tempelhof - Schöneberg;11;235259;232759;;;177205;172928;;;3046;3533;2773;3001;174159;169395;174432;169927;60926;54971;55275;45372;45659;38244;47834;36351;2585;13292;7134;23407;12801;13787;17937;16995;35461;44506;26941;36630;;;;;5233;;5526;4619;1789;2413;1588;1891;;;;2270;;;219;545;;;342;335;;;;;;;;;;;;;;;;;;;;;348;1328;221;463;;;;598;;;73;72;;;;;;;63;86;6391;;7988;;567;;473;;;;481;;;;;;;;;;905;;759;;;;;;;;;;1494;;1578;;;;;;;;;;;;;101;;;;;;854;;192;
82;Berlin-Neukölln;11;205635;197444;;;140825;132613;;;3102;3915;2868;3357;137723;128698;137957;129256;42092;39618;40038;33469;44528;35168;36211;27639;1861;11468;4122;16486;16144;15852;19677;17986;16126;18805;19156;22698;;;;;6094;;5654;4339;3094;3356;2627;2554;;;;2066;;;216;611;;;255;261;;;;;;;;;;;;;;;;;;;;;222;;126;209;;;;394;208;218;143;108;;;;;;;80;128;4140;;5832;;;;617;;;;454;;;;;;;;;;794;;689;;;;;;;;;;2420;;2060;;;;;;;;;;;280;;150;;;;;;3933;;158;
83;Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost;11;226240;222647;;;168048;160861;;;2317;2572;2358;2419;165731;158289;165690;158442;22723;18394;25474;18788;29799;26415;39784;32015;1647;6425;3579;9693;28441;27796;41639;39641;66056;73897;34420;43347;;;;;6317;;9612;9473;1291;1791;1140;1436;;;;1793;;;107;284;;;426;306;;;;;;;;;;;;;;;;;;;;;108;;86;166;457;;;727;;;209;130;;;;;;;126;171;3325;;4623;;602;;594;;;;252;;;;;;;;;;515;;477;;;;;;;;;;2666;;3142;;624;;;;;;;;;649;;354;;;;;1160;2922;;118;
84;Berlin-Treptow - Köpenick;11;201629;200391;;;148406;142838;;;2187;2326;2125;2083;146219;140512;146281;140755;33036;29124;37170;25955;26093;25520;31204;27765;1429;6247;2904;11261;61661;62880;43118;47438;7344;10495;10787;15486;;;;;4205;;5176;4713;4039;4092;3795;3688;;;;2106;;;227;443;;;328;281;;;;;;;;;;;;;;;;;;;;;218;1131;199;513;;;;367;208;398;191;168;;;;;;;83;132;5788;;8106;;;;88;;;;524;;;;;;;;;;855;;894;;;;;;;;;;1343;;1487;;;;;;;;;;;;;205;;;;;;625;;234;
85;Berlin-Marzahn - Hellersdorf;11;203968;203416;;;132817;128897;;;2078;2496;2085;2224;130739;126401;130732;126673;33552;24563;33947;22875;22341;20336;25103;20906;938;6969;2278;9741;50866;60236;43026;51662;4071;7242;5068;8847;;;;;3668;;3996;4274;5540;4725;5101;3832;;;;2189;;;243;456;;;202;189;;;;;;;;;;;;;;;;;;;;;239;1564;181;579;;;;249;;;111;127;;;;;;;102;156;6347;;8319;;;;73;;1101;;1116;;;;;;;;;;717;;752;;;;;;;;;;860;;1114;;;;;;;;;;;;;235;;;;;499;766;;356;
86;Berlin-Lichtenberg;11;205457;204766;;;138551;132766;;;2259;2283;2150;2014;136292;130483;136401;130752;30988;22566;31491;21347;26636;24028;27886;22618;939;5048;2117;8666;54932;61874;47158;53815;5748;9652;7956;11490;;;;;4917;;5072;4972;3858;4492;3486;3603;;;;1960;;;220;453;;;265;225;;;;;;;;;;;;;;;;;;;;;231;1384;172;513;;;;272;;;163;101;;;;;;;117;158;5827;;7480;;;;73;;;;595;;;;;;;;;;997;;771;;;;;;;;;;;;1379;;;;;;;;;;;;;286;;;;;1219;1439;;273;
11;Berlin;99;2505718;2471665;;;1815415;1752839;;;29655;34080;27694;29434;1785760;1718759;1787721;1723405;536332;452542;508643;393180;455138;418045;439387;348082;25867;123780;63616;198516;333148;355640;330507;348661;243259;298277;220737;299535;;;;;56911;;64018;58062;30041;34488;27014;27799;;;;23528;;;2564;5921;;;3612;3220;;1416;;;84;;;;;;;;;;;;;;;;2637;10946;1810;4709;457;875;;5492;618;901;1410;1111;;;;;;;965;1420;67483;;88060;;2428;;3509;;1101;;5665;;;;;;;;;;8138;;7531;;;;;;;;;;16057;;18673;;624;;;;;;;;261;929;;1894;;;;;5176;20920;;2275;

56;Prignitz - Ostprignitz-Ruppin - Havelland I;12;162624;171705;;;103904;108017;;;2156;3477;1682;3020;101748;104540;102222;104997;34115;22851;37305;24913;30079;33532;25638;29446;1294;8162;2299;9068;24519;32198;23048;30550;2790;4483;3532;4587;;;;;2633;;1967;1829;2826;3314;2329;2494;;;;;;;120;170;;;;;;;;;;;;;;;;;;;;;;;;;;;;153;;;;;;;82;84;;;;;;;;;;;4761;;;;;;;;369;;;;;;;;;;;;772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3492;;;1703;
57;Uckermark - Barnim I;12;160234;168604;;;100634;105423;;;1879;3325;1715;3006;98755;102098;98919;102417;38394;26416;36377;24429;23235;27570;22475;26654;1565;6372;2069;7883;25673;32670;23572;31720;2825;4371;3580;4748;;;;;2456;;1985;1952;3374;3918;2632;3123;;;;;;;159;187;;;;;;;;;;;;;;;;;;;;;;;;;;;;189;;;;;;;100;105;;;;;;;;;;;4776;;;;;;;;317;;;;;;;;;;1233;;877;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;781;;1427;
58;Oberhavel - Havelland II;12;250706;249983;;;177378;171514;;;3659;4907;2857;4179;173719;166607;174521;167335;65081;46088;63199;41575;48668;48621;41603;42959;2571;12963;5119;19163;34046;40334;32023;38980;8510;12193;9861;12974;;;;;5281;;3894;3891;5880;5400;4273;4153;;;;;;;304;478;;;;;;;;;;;;;;;;;;;;;;;;;;;;377;;;;;;;168;181;;;;;;;;;;;11713;;;;;;;;787;;;;;;;;;;2481;;1577;;;;;;;;;;;;;;;;;;;;;;306;;;;;;;;895;1008;;2604;
59;Märkisch-Oderland - Barnim II;12;251583;255845;;;175093;174098;;;3922;4674;3770;4419;171171;169424;171323;169679;58210;39959;55340;36678;34745;38545;37323;36651;1887;11139;3816;15335;56391;62644;44996;57051;5876;8195;7213;10225;;;;;4588;;3968;4523;5804;6096;4246;4381;;;;;;;278;423;;;;;;;;;;;;;;;;;;;;;;;;;;;;327;;;;;;;166;210;;;;;;;;;;;10981;;;;;;;;861;;;;;;;;;;2476;;2135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1194;2846;;3875;
60;Brandenburg an der Havel - Potsdam-Mittelmark I - Havelland III - Teltow-Fläming I;12;191014;199083;;;124176;128273;;;2434;3598;2205;3708;121742;124675;121971;124565;39973;30733;41489;29834;40306;40957;32002;34451;1911;7328;2780;9992;28974;35484;27921;35643;2952;4771;4578;6047;;;;;3038;;2388;3093;3968;3764;3187;3013;;;;;;;183;172;;;;;;;;;;;;;;;;;;;;;;;;;;;;199;;;;;;;131;151;;;;;;;;;;;5929;;;;;;;;450;;;;;;;;;;;;933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;620;1638;;1970;
61;Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II;12;244812;239221;;;182227;174226;;;3088;4387;2330;3560;179139;169839;179897;170666;58399;40708;56449;36600;57669;48720;44723;44450;3200;12356;5900;17986;35914;48515;37294;43354;12903;16479;16241;18279;;;;;5445;;4814;5171;3147;3061;2067;2129;;;;;;;207;269;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;;;;;;;265;202;;;;;;;;;;;10282;;;;;;;;610;;;;;;;;;;;;1045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2462;;;1881;
62;Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I;12;240784;246651;;;169480;170204;;;3478;5598;3029;4739;166002;164606;166451;165465;61487;40882;57867;39092;45078;53384;37780;42834;1989;11959;4526;16102;36284;43348;36310;44923;6324;9041;7425;9912;;;;;4331;;3617;4357;5582;5992;4468;4711;;;;;924;;579;368;;;;;;;;;;;;;;;;;;;;;;;;;;;;397;;;;;;;180;162;;;;;;;;;;;10605;;;;;;;;713;;;;;;;;;;3670;;2381;;;;;;;;;;;;;;;;;;;;;;333;;;;;;;;;;;2607;
63;Frankfurt (Oder) - Oder-Spree;12;199341;208525;;;135293;139228;;;3167;4461;2463;3597;132126;134767;132830;135631;44822;30153;44301;30506;32291;38470;29631;32750;2252;10125;2922;12018;37008;43589;32862;42581;5192;7502;5266;7464;;;;;4977;;2911;3385;5584;4928;4058;3788;;;;;;;258;395;;;;;;;;;;;;;;;;;;;;;;;;;;;;374;;;;;;;198;210;;;;;;;;;;;8562;;;;;;;;642;;;;;;;;;;;;1219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2160;
64;Cottbus - Spree-Neiße;12;187157;196389;;;125920;128179;;;2689;4218;2207;3530;123231;123961;123713;124649;44301;29829;44230;30360;29510;34529;26863;29999;2498;10878;2984;11230;24681;37224;27965;36561;3278;5650;4382;6093;;;;;2889;;2615;3636;4929;4806;3897;3765;;;;;;;204;344;;;;;;;;;;;;;;;;;;;;;;;;;;;;258;;;;;;;138;179;;;;;;;;;;;8555;;;;;;;;525;;;;;;;;;;;;1355;;;;;;;;;;901;;;;;;;;;;;;245;;;;;;;;9999;1045;;2224;
65;Elbe-Elster - Oberspreewald-Lausitz II;12;177689;192709;;;118680;126140;;;2668;4692;2165;3992;116012;121448;116515;122148;47454;35073;46044;33467;26132;32688;23136;28022;2085;8487;2950;10865;27137;34324;25321;34203;2899;3861;3104;4238;;;;;3834;;2626;2995;5608;5513;4421;3839;;;;;;;196;278;;;;;;;;;;;;;;;;;;;;;;;;;;;;270;;;;;;;153;137;;;;;;;;;;;6911;;;;;;;;531;;;;;;;;;;;;1122;;;;;;;;;;;;;;;;;;;;;;323;;;;;;;;540;1502;;3834;
12;Brandenburg;99;2065944;2128715;;;1412785;1425302;;;29140;43337;24423;37750;1383645;1381965;1388362;1387552;492236;342692;482601;327454;367713;397016;321174;348216;21252;99769;35365;129642;330627;410330;311312;395566;53549;76546;65182;84567;;;;;39472;;30785;34832;46702;46792;35578;35396;;;;;924;;2488;3084;;;;;;;;;;;;;;;;;;;;;;;;;;;;2889;;;;;;;1581;1621;;;;;;;;;;;83075;;;;;;;;5805;;;;;;;;;;9860;;13416;;;;;;;;;;901;;;;;;;;;;;;1207;;;;;;;;19202;8820;;24285;

12;Schwerin - Ludwigslust-Parchim I - Nordwestmecklenburg I;13;220166;226424;;;148614;148469;;;2506;2507;2135;2122;146108;145962;146479;146347;56966;44260;59081;45985;37864;36134;31566;29602;2255;11464;3303;14174;32404;41449;29869;40022;5205;7840;6538;8528;;;;;3340;;2581;3207;4928;4699;3922;4321;;;;;;;70;256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;164;252;;;;;;;;;;;7736;;;;;;;;251;;;;;;;;;;2920;;1398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;226;116;;;
13;Ludwigslust-Parchim II - Nordwestmecklenburg II - Landkreis Rostock I;13;208976;217571;;;137171;138101;;;2359;2440;1986;2155;134812;135661;135185;135946;57917;45462;56922;44531;30711;28275;26641;25078;2125;10106;3006;13264;30812;40228;28803;38919;4641;6601;5448;7049;;;;;2964;;2126;2749;4244;4239;3465;3903;;;;;;;86;199;;133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;153;254;;;;;;;;;;;7138;;;;;;;;291;;;;;;;;;;1398;;1106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;617;;;
14;Rostock - Landkreis Rostock II;13;223885;224968;;;152820;149341;;;2669;2402;2046;2115;150151;146939;150774;147226;52661;41161;57188;41154;27498;29052;29010;26254;1606;9931;2911;14285;46160;46323;35792;44937;11216;15050;9874;12027;;;;;3263;;3588;4606;3308;3681;2484;3405;;;;;;;106;215;;74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;545;554;292;343;;;;;;;;;;;8196;;;;;;;;224;;;;;;;;;;1385;;1109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2509;1113;;;
15;Vorpommern-Rügen - Vorpommern-Greifswald I;13;244880;253514;;;157402;154213;;;2467;2632;2426;2761;154935;151581;154976;151452;87142;70329;69683;55282;21688;19090;22630;19591;1227;8491;4067;16798;29847;40081;31930;42462;4728;6757;7372;8550;;;;;3738;;3527;3942;3970;4115;3525;4237;;;;;;;126;307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;161;283;;;;;;;;;;;10159;;;;;;;;330;;;;;;;;;;1205;;1466;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1390;2718;;;
16;Mecklenburgische Seenplatte I - Vorpommern-Greifswald II;13;234110;247700;;;148874;153434;;;2778;3498;2514;3085;146096;149936;146360;150349;67069;52897;65767;53411;22870;22994;21603;20979;2695;11746;2910;13987;34972;46343;31658;44748;3359;5412;4010;5705;;;;;3825;;2629;3109;8525;8369;6755;7776;;;;;;;155;340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;163;294;;;;;;;;;;;8850;;;;;;;;337;;;;;;;;;;2781;;1523;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2175;;;
17;Mecklenburgische Seenplatte II - Landkreis Rostock III;13;218688;230121;;;136837;138618;;;3195;2988;2868;2671;133642;135630;133969;135947;62852;47714;60407;47118;25029;25869;22981;22103;1983;9731;2771;12695;30284;40987;28819;40448;4083;5166;4474;5982;;;;;2653;;2112;2450;4243;4698;3584;4581;;;;;;;120;266;;316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;491;;233;304;;;;;;;;;;;6806;;;;;;;;260;;;;;;;;;;2024;;1402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1149;;;
13;Mecklenburg-Vorpommern;99;1350705;1400298;;;881718;882176;;;15974;16467;13975;14909;865744;865709;867743;867267;384607;301823;369048;287481;165660;161414;154431;143607;11891;61469;18968;85203;204479;255411;186871;251536;33232;46826;37716;47841;;;;;19783;;16563;20063;29218;29801;23735;28223;;;;;;;663;1583;;523;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1036;554;1166;1730;;;;;;;;;;;48885;;;;;;;;1693;;;;;;;;;;11713;;8004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4125;7888;;;

151;Nordsachsen;14;168695;178447;;;112071;109628;;;2610;1785;1908;1672;109461;107843;110163;107956;49906;44147;49473;38440;22316;15860;16970;16927;2276;10611;2912;13747;23843;27760;22696;27765;3399;4357;3144;4783;;;;;2149;;2141;;5572;5108;4272;5069;;;;;;;;381;;;;;;;;;;;;;;;;;;;;;;;;;;;137;583;;;;;;;104;261;;;;;;;;;;;6762;;;;;;;;394;;;;;;;;;;;;1158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
152;Leipzig I;14;210456;202455;;;138427;129834;;;2028;1719;1633;1523;136399;128115;136794;128311;54566;42704;50481;38471;29511;24866;25286;23070;2307;11781;4028;16478;31923;34015;29122;32762;7683;8856;9466;11474;;;;;4043;;4362;;4489;4202;3246;4225;;;;;;;;340;;;;;;;;;;;;;;;;;;;;;;;;;1877;1691;408;1197;;;;;;;203;294;;;;;;;;;;;8394;;;;;;;;489;;;;;;;;;;;;1309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;Leipzig II;14;219865;212804;;;153935;144581;;;2075;1904;1748;1786;151860;142677;152187;142795;52077;41101;49553;37304;35515;32841;28778;26133;2237;10505;4583;16983;37750;36117;34302;36431;13732;17345;17075;20998;;;;;3914;;5897;;3096;3094;2207;3119;;;;;;;;248;;;;;;;;;;;;;;;;;;;;;;;;;1192;1674;349;1203;;;;;;;221;376;;;;;;;;;;;7702;;;;;;;;383;;;;;;;;;;;;1137;;;;;;;;;;2347;;;;;;;;;;;;;;;;;;;;;;;;
154;Leipzig-Land;14;220400;231084;;;151537;148389;;;2797;2283;2332;2081;148740;146106;149205;146308;76273;60969;68348;53735;23542;23471;22681;23354;2890;14799;4292;19240;31865;33044;29716;34826;4905;6745;4899;7533;;;;;3199;;2905;;6066;5988;4513;5751;;;;;;;;462;;;;;;;;;;;;;;;;;;;;;;;;;;;172;1032;;;;;;;137;375;;;;;;;;;;;9562;;;;;;;;495;;;;;;;;;;;;1485;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1090;;;
155;Meißen;14;207261;216629;;;145679;140109;;;2706;2289;2490;2288;142973;137820;143189;137821;76666;62290;64622;51703;18090;17236;18024;17987;3461;12403;5253;20052;25279;29423;26735;31286;4817;8315;5721;7979;;;;;3600;;3252;;6463;7050;5588;6875;;;;;;;;404;;;;;;;;;;;;;;;;;;;;;;;;;1618;;494;1208;;;;;;;136;327;;;;;;;;;;;10195;;;;;;2979;;1282;;;;;;;;;;;;1887;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1103;;;
